1: ([37.654307, -122.097375], [37.505502, -122.338504])
2: ([37.530399, -122.137172], [37.477825, -122.227721])
3: ([37.562344, -122.295568], [37.557633, -122.342931])
4: ([37.526606, -122.287180], [37.567353, -122.050760])
5: ([37.818408, -122.264670], [37.511672, -122.354460])
6: ([37.489563, -122.315918], [37.585026, -122.257835])
7: ([37.762641, -122.191483], [37.445937, -122.290491])
8: ([37.574900, -122.143752], [37.665691, -122.226378])
9: ([37.746742, -122.192114], [37.589751, -122.077789])
10: ([37.507931, -122.214885], [37.771072, -122.326790])
11: ([37.690441, -122.337622], [37.576613, -122.309209])
12: ([37.740545, -122.256781], [37.811175, -122.219618])
13: ([37.740128, -122.211215], [37.531712, -122.133190])
14: ([37.783906, -122.232154], [37.489142, -122.258808])
15: ([37.731045, -122.311975], [37.561733, -122.218326])
